Location,Customer,Product,Rate
Mumbai,Mumbai,Product,0.00
Mumbai,Pune,Product,1.13
Mumbai,Nagpur,Product,6.55
Mumbai,Bangalore,Product,7.71
Mumbai,Chennai,Product,9.52
Mumbai,Cochin,Product,9.75
Mumbai,Hyderabad,Product,5.86
Mumbai,Delhi,Product,10.51
Mumbai,Lucknow,Product,11.20
Mumbai,Patna,Product,13.88
Mumbai,Chandigarh,Product,12.29
Mumbai,Amritsar,Product,12.72
Mumbai,Bhubaneshwar,Product,13.00
Mumbai,Jaipur,Product,15.03
Mumbai,Ahmedabad,Product,3.96
Nagpur,Mumbai,Product,6.55
Nagpur,Pune,Product,5.85
Nagpur,Nagpur,Product,0.00
Nagpur,Bangalore,Product,8.31
Nagpur,Chennai,Product,8.15
Nagpur,Cochin,Product,11.56
Nagpur,Hyderabad,Product,3.81
Nagpur,Delhi,Product,7.81
Nagpur,Lucknow,Product,6.00
Nagpur,Patna,Product,7.51
Nagpur,Chandigarh,Product,9.86
Nagpur,Amritsar,Product,11.30
Nagpur,Bhubaneshwar,Product,6.79
Nagpur,Jaipur,Product,14.37
Nagpur,Ahmedabad,Product,6.78
Delhi,Mumbai,Product,10.51
Delhi,Pune,Product,10.69
Delhi,Nagpur,Product,7.81
Delhi,Bangalore,Product,15.74
Delhi,Chennai,Product,15.94
Delhi,Cochin,Product,18.79
Delhi,Hyderabad,Product,11.40
Delhi,Delhi,Product,0.00
Delhi,Lucknow,Product,4.27
Delhi,Patna,Product,8.62
Delhi,Chandigarh,Product,2.05
Delhi,Amritsar,Product,3.68
Delhi,Bhubaneshwar,Product,12.11
Delhi,Jaipur,Product,6.86
Delhi,Ahmedabad,Product,7.27
Bangalore,Mumbai,Product,7.71
Bangalore,Pune,Product,6.69
Bangalore,Nagpur,Product,8.31
Bangalore,Bangalore,Product,0.00
Bangalore,Chennai,Product,2.68
Bangalore,Cochin,Product,3.32
Bangalore,Hyderabad,Product,4.50
Bangalore,Delhi,Product,15.74
Bangalore,Lucknow,Product,14.27
Bangalore,Patna,Product,14.70
Bangalore,Chandigarh,Product,17.78
Bangalore,Amritsar,Product,18.86
Bangalore,Bhubaneshwar,Product,11.02
Bangalore,Jaipur,Product,21.65
Bangalore,Ahmedabad,Product,11.24
Kolkata,Mumbai,Product,15.88
Kolkata,Pune,Product,15.06
Kolkata,Nagpur,Product,9.38
Kolkata,Bangalore,Product,14.43
Kolkata,Chennai,Product,12.47
Kolkata,Cochin,Product,17.50
Kolkata,Hyderabad,Product,11.16
Kolkata,Delhi,Product,12.82
Kolkata,Lucknow,Product,8.56
Kolkata,Patna,Product,4.42
Kolkata,Chandigarh,Product,14.17
Kolkata,Amritsar,Product,16.25
Kolkata,Bhubaneshwar,Product,3.41
Kolkata,Jaipur,Product,19.31
Kolkata,Ahmedabad,Product,15.80
Mumbai,Kolkata,Product,15.88
Nagpur,Kolkata,Product,9.38
Delhi,Kolkata,Product,12.82
Bangalore,Kolkata,Product,14.43
Kolkata,Kolkata,Product,0.00
